"Name","DepartmentName","Region","City","AnnualCtc"
"IT"," Asia"," Washington"," 46371.0"," adalberto.tate@shaw.ca"
"IT"," Asia"," Washington"," 42810.0"," jacquie.burkett@aol.com"
"IT"," Asia"," Washington"," 48537.0"," catrice.tolbert@shell.com"
"IT"," Asia"," Washington"," 40846.0"," benton.steed@aol.com"
"IT"," Asia"," Washington"," 41496.0"," dewayne.lewis@aol.com"
"IT"," Asia"," Washington"," 42413.0"," harrison.cavazos@yahoo.com"
"IT"," Asia"," Washington"," 44360.0"," forest.longoria@hotmail.com"
"IT"," Asia"," Washington"," 44534.0"," marc.shannon@shell.com"
"IT"," Asia"," Washington"," 46608.0"," kandi.ziegler@aol.com"
"IT"," Asia"," Washington"," 47827.0"," leida.rosser@verizon.net"
"IT"," Asia"," Washington"," 44900.0"," cinthia.hand@gmail.com"
"IT"," Asia"," Washington"," 48816.0"," luanna.bravo@msn.com"
"IT"," Asia"," Washington"," 48075.0"," lashawnda.yee@yahoo.ca"
"IT"," Asia"," Washington"," 49020.0"," jong.seibert@verizon.net"
"IT"," Asia"," Washington"," 42991.0"," rasheeda.hulsey@gmail.com"
"IT"," Asia"," Washington"," 40322.0"," lucilla.healy@aol.com"
"IT"," Asia"," Washington"," 43322.0"," darron.hammer@sbcglobal.net"
"IT"," Asia"," Washington"," 40607.0"," laquita.irving@earthlink.net"
"IT"," Asia"," Washington"," 43447.0"," will.nunn@apple.com"
"IT"," Asia"," Washington"," 41915.0"," sterling.silvers@apple.com"
"IT"," Asia"," Washington"," 47616.0"," roslyn.leahy@exxonmobil.com"
"IT"," Asia"," Washington"," 41152.0"," cathryn.durham@shell.com"
"IT"," Asia"," Washington"," 41715.0"," marvin.comer@gmail.com"
"IT"," Asia"," Washington"," 41390.0"," art.pullen@hotmail.com"
"IT"," Asia"," Washington"," 41517.0"," romeo.mendez@outlook.com"
"IT"," Asia"," Washington"," 49400.0"," abby.chong@gmail.com"
"IT"," Europe"," Washington"," 49301.0"," rafael.weeks@gmail.com"
"IT"," Europe"," Washington"," 41559.0"," bert.stegall@yahoo.com"
"IT"," Europe"," Washington"," 44687.0"," estelle.kingsley@gmail.com"
"IT"," Europe"," Washington"," 42795.0"," craig.morley@gmail.com"
"IT"," Europe"," Washington"," 44968.0"," august.barrera@hotmail.com"
"IT"," Europe"," Washington"," 42820.0"," ivey.thorp@cox.net"
"IT"," Europe"," Washington"," 43276.0"," rosaria.caraway@hotmail.com"
"IT"," Europe"," Washington"," 42580.0"," roberto.furr@charter.net"
"IT"," Europe"," Washington"," 49543.0"," khadijah.billings@aol.com"
"IT"," Europe"," Washington"," 45880.0"," renata.best@gmail.com"
"IT"," Europe"," Washington"," 45204.0"," shoshana.malcolm@yahoo.co.uk"
"IT"," Europe"," Washington"," 40557.0"," domingo.west@apple.com"
"IT"," Europe"," Washington"," 45440.0"," ronna.burden@aol.com"
"IT"," Europe"," Washington"," 40744.0"," noelia.cortez@rediffmail.com"
"IT"," Europe"," Washington"," 45680.0"," tenisha.cruz@gmail.com"
"IT"," Europe"," Washington"," 42522.0"," jason.cooke@verizon.net"
"IT"," Europe"," Washington"," 49713.0"," olevia.pederson@hotmail.com"
"IT"," Europe"," Washington"," 42154.0"," barrett.osborn@apple.com"
"IT"," Europe"," Washington"," 41906.0"," werner.knox@gmail.com"
"IT"," Europe"," Washington"," 42228.0"," raphael.crowell@gmail.com"
"IT"," Europe"," Washington"," 47298.0"," malik.cruz@gmail.com"
"IT"," Europe"," Washington"," 41857.0"," morton.townsend@gmail.com"
"IT"," Europe"," Washington"," 46442.0"," jarrett.eddy@hotmail.com"
"IT"," Europe"," Washington"," 45759.0"," issac.gaddis@charter.net"
"IT"," Europe"," Washington"," 40944.0"," wanetta.weiss@hotmail.com"
"IT"," Europe"," Washington"," 42367.0"," jody.dial@gmail.com"
"IT"," Europe"," Washington"," 43018.0"," alia.corbett@yahoo.com"
"IT"," Europe"," Washington"," 46577.0"," lieselotte.moyer@hotmail.co.uk"
"IT"," Europe"," Washington"," 42164.0"," keri.gabriel@apple.com"
"IT"," Europe"," Washington"," 43477.0"," carmon.dykes@comcast.net"
"IT"," Europe"," Washington"," 44513.0"," gerry.atwood@gmail.com"
"IT"," Europe"," Washington"," 43105.0"," randall.gage@aol.com"
"IT"," Europe"," Washington"," 45948.0"," judi.bertram@exxonmobil.com"
"IT"," Europe"," Washington"," 49097.0"," darius.hale@gmail.com"
"IT"," Europe"," Washington"," 47502.0"," evangelina.shrader@ibm.com"
"IT"," Europe"," Washington"," 46522.0"," keenan.mccann@gmail.com"
"IT"," Europe"," Washington"," 48915.0"," jimmie.peck@yahoo.com"
"IT"," Europe"," Washington"," 48699.0"," roberto.chacon@bellsouth.net"
"IT"," Europe"," Washington"," 46112.0"," micah.carrington@apple.com"
"IT"," Europe"," Washington"," 48367.0"," refugia.guay@gmail.com"
"IT"," Europe"," Washington"," 42170.0"," morton.autry@shell.com"
"IT"," Europe"," Washington"," 48622.0"," ellsworth.woody@yahoo.com"
"IT"," Europe"," Washington"," 45721.0"," annelle.tolbert@aol.com"
"IT"," Europe"," Washington"," 42936.0"," tequila.hannan@gmail.com"
"IT"," Europe"," Washington"," 40439.0"," twila.bonner@aol.com"
"IT"," Europe"," Washington"," 42573.0"," richard.hofmann@outlook.com"
"IT"," Europe"," Washington"," 48561.0"," allene.keith@hotmail.com"
"IT"," Europe"," Washington"," 49768.0"," jolie.polanco@shaw.ca"
"IT"," Europe"," Washington"," 41148.0"," alvin.ramey@hotmail.co.uk"
"IT"," Europe"," Washington"," 48678.0"," enrique.gifford@yahoo.co.uk"
"IT"," Europe"," Washington"," 43689.0"," larry.hankins@hotmail.com"
"IT"," Europe"," Washington"," 46758.0"," anette.coburn@hotmail.com"
"IT"," Europe"," Washington"," 48458.0"," elliot.hamm@earthlink.net"
"IT"," Europe"," Washington"," 47247.0"," billy.sawyer@verizon.net"
"IT"," Europe"," Washington"," 45467.0"," timmy.baugh@msn.com"
"IT"," Europe"," Washington"," 46319.0"," evelin.bagley@bellsouth.net"
"IT"," Europe"," Washington"," 43925.0"," courtney.carmichael@gmail.com"
"IT"," Europe"," Washington"," 47090.0"," daphine.magee@yahoo.com"
"IT"," Europe"," Washington"," 46376.0"," miriam.staples@bp.com"
"IT"," Europe"," Washington"," 45426.0"," myles.lawless@gmail.com"
"IT"," Europe"," Washington"," 49077.0"," tierra.coker@aol.com"
"IT"," Europe"," Washington"," 45157.0"," michale.cano@gmail.com"
"IT"," Europe"," Washington"," 43605.0"," casey.westmoreland@yahoo.com"
"IT"," Europe"," Washington"," 44782.0"," edison.lavender@aol.com"
